,acousticness,danceability,energy,instrumentalness,loudness,speechiness,tempo,genre
83,0.876,0.16,0.647,0.0,-3.917,0.28,86.993,Jazz
84,0.835,0.38,0.456,0.00359,-10.195,0.266,101.889,Jazz
85,0.78,0.43,0.575,0.0,-7.247,0.273,84.492,Jazz
86,0.764,0.0398,0.705,0.0005,-7.39,0.279,88.357,Jazz
87,0.958,0.00385,0.334,1.07e-06,-8.172,0.345,105.93,Jazz
88,0.711,0.0273,0.717,0.0,-8.4,0.343,100.106,Jazz
89,0.496,0.0266,0.589,0.0,-5.962,0.447,71.63,Hip-Hop
90,0.543,0.000985,0.7,0.0,-6.979,0.345,80.636,Jazz
91,0.698,0.159,0.818,0.0,-8.07,0.398,99.236,Hip-Hop
92,0.697,0.0844,0.793,0.0,-4.699,0.323,89.767,Jazz
93,0.617,0.00331,0.462,0.0,-5.311,0.49,80.845,Hip-Hop
94,0.594,0.0906,0.831,0.0,-2.966,0.41,78.35,Hip-Hop
95,0.782,0.138,0.789,0.00401,-4.077,0.478,94.811,Hip-Hop
96,0.88,0.0657,0.502,0.0,-8.196,0.683,91.103,Hip-Hop
97,0.81,0.071,0.692,0.0,-5.136,0.393,51.451,Jazz
98,0.55,0.0536,0.88,1.27e-06,-4.845,0.339,124.274,Hip-Hop
99,0.937,0.22,0.611,3.78e-06,-4.631,0.204,100.957,Jazz
100,0.639,0.982,0.269,0.12,-11.435,0.0698,124.866,Jazz
101,0.488,0.963,0.124,0.333,-13.038,0.0404,66.105,Jazz
102,0.511,0.809,0.193,2.17e-05,-15.148,0.0439,116.348,Jazz
103,0.605,0.253,0.376,0.207,-14.978,0.0322,131.927,Classical
104,0.417,0.971,0.0644,0.000134,-19.687,0.0359,113.713,Jazz
105,0.45,0.938,0.154,4.37e-06,-14.485,0.0373,110.666,Jazz
106,0.461,0.988,0.0546,0.208,-18.982,0.0362,128.91,Jazz
107,0.262,0.613,0.356,0.0,-8.031,0.0303,174.176,Rock
108,0.395,0.935,0.121,0.397,-23.427,0.0327,114.521,Jazz
109,0.634,0.709,0.327,0.0131,-9.703,0.0551,80.825,Jazz
110,0.626,0.934,0.152,6.05e-05,-14.182,0.0405,82.174,Jazz
111,0.45,0.796,0.285,0.0,-10.087,0.0414,117.494,Jazz
112,0.573,0.713,0.247,5.64e-05,-19.282,0.0627,138.234,Jazz
113,0.224,0.976,0.214,0.00094,-14.455,0.0348,83.906,Jazz
114,0.389,0.92,0.145,0.876,-22.965,0.0301,99.541,Jazz
115,0.543,0.805,0.133,0.00135,-16.846,0.1,171.493,Jazz
116,0.558,0.805,0.231,0.0,-11.436,0.0812,73.103,Jazz
117,0.749,0.655,0.152,0.000254,-16.745,0.0493,101.779,Jazz
118,0.541,0.727,0.607,0.442,-8.435,0.0438,104.96,Jazz
119,0.573,0.84,0.275,0.0,-10.684,0.0534,140.9,Jazz
120,0.496,0.927,0.127,7.07e-05,-14.211,0.0382,74.746,Jazz
121,0.593,0.986,0.103,0.6,-14.961,0.081,66.283,Jazz
122,0.703,0.815,0.187,0.000492,-16.273,0.0676,126.164,Jazz
123,0.435,0.768,0.499,0.107,-8.576,0.0317,121.924,Rock
124,0.425,0.955,0.0469,0.0,-18.612,0.0354,135.335,Jazz
125,0.419,0.987,0.0284,0.586,-24.09,0.0357,71.502,Jazz
126,0.781,0.947,0.106,0.0835,-17.396,0.0584,113.528,Jazz
127,0.319,0.987,0.157,0.849,-19.728,0.0368,191.259,Jazz
128,0.71,0.867,0.318,0.00038,-8.948,0.0432,126.05,Jazz
129,0.716,0.879,0.133,0.0,-15.846,0.0421,62.14,Jazz
130,0.413,0.977,0.0552,0.00091,-18.538,0.0346,107.842,Jazz
131,0.564,0.958,0.097,0.0588,-16.442,0.038,132.653,Jazz
132,0.303,0.974,0.175,1.32e-06,-14.203,0.0378,168.743,Jazz
133,0.608,0.86,0.387,0.662,-20.157,0.0411,91.489,Jazz
134,0.147,0.965,0.215,0.000928,-14.594,0.0346,171.46,Jazz
135,0.27,0.973,0.688,0.884,-16.305,0.0547,75.845,Jazz
136,0.503,0.673,0.344,0.381,-19.024,0.0369,108.489,Jazz
137,0.652,0.99,0.171,0.864,-16.1,0.0569,118.883,Jazz
138,0.561,0.873,0.346,0.399,-12.596,0.0409,93.689,Jazz
139,0.497,0.978,0.153,0.809,-12.65,0.0407,100.222,Jazz
140,0.476,0.89,0.273,0.9,-17.457,0.0334,117.779,Jazz
