,acousticness,danceability,energy,instrumentalness,loudness,speechiness,tempo,genre
368,0.438,0.00255,0.805,5.69e-05,-6.237,0.0624,113.253,Rock
369,0.502,0.000147,0.89,0.0117,-5.175,0.0364,133.52,Rock
370,0.598,0.116,0.901,0.0401,-6.081,0.0359,153.24,Rock
371,0.676,0.00101,0.92,8.65e-06,-7.96,0.0435,126.341,Rock
372,0.421,0.2,0.751,0.0,-9.584,0.0472,89.839,Rock
373,0.398,0.000373,0.952,7.75e-05,-6.042,0.061,122.093,Rock
374,0.356,0.0335,0.917,0.0,-6.006,0.0479,171.176,Rock
375,0.686,0.301,0.92,0.27,-6.231,0.0566,135.027,Rock
376,0.673,0.0133,0.814,0.00293,-5.411,0.0367,147.193,Rock
377,0.365,0.0144,0.924,0.000254,-7.066,0.0488,135.811,Rock
378,0.482,0.00321,0.786,8.88e-05,-5.735,0.032,126.755,Rock
379,0.356,0.00101,0.924,0.0,-3.74,0.0808,148.017,Rock
380,0.519,0.0204,0.441,0.000453,-14.178,0.0353,81.334,Classical
381,0.454,0.0866,0.91,0.0996,-7.766,0.0448,125.116,Rock
382,0.656,0.046,0.931,0.0,-5.827,0.0976,144.747,Rock
383,0.624,0.0221,0.899,0.000137,-5.709,0.0296,104.061,Rock
384,0.741,0.117,0.58,3.31e-05,-9.05,0.0304,127.402,Classical
385,0.663,0.524,0.712,0.0,-7.268,0.0479,113.439,Rock
386,0.284,0.00752,0.875,0.000461,-6.069,0.0422,75.009,Rock
387,0.402,0.00484,0.873,7.3e-05,-3.209,0.0586,125.443,Rock
388,0.541,0.0663,0.96,2.25e-06,-2.947,0.0505,122.803,Rock
389,0.294,0.05,0.745,0.125,-9.138,0.0461,134.364,Rock
390,0.404,5.59e-05,0.72,0.836,-9.18,0.0623,121.864,Classical
391,0.505,0.0103,0.836,0.0771,-7.384,0.101,159.669,Rock
392,0.546,0.0629,0.529,0.000567,-13.6,0.0436,151.727,Classical
393,0.631,0.0731,0.689,0.000357,-8.358,0.0284,107.667,Rock
394,0.458,0.442,0.502,5.51e-06,-10.186,0.0294,121.861,Rock
395,0.82,0.0936,0.575,0.000135,-9.144,0.0408,123.765,Classical
396,0.629,0.0424,0.897,0.0,-3.401,0.0483,161.944,Rock
397,0.636,0.0648,0.746,0.29,-3.785,0.0393,132.31,Rock
398,0.588,0.128,0.559,0.0,-4.849,0.0272,123.845,Rock
399,0.404,0.577,0.903,0.297,-3.88,0.0668,115.672,Rock
