name,album,artist,genre,release_date,length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo
"Flava in Ya Ear Remix (feat. Notorious B.I.G., L.L. Cool J, Busta Rhymes, Rampage)",Flava In Ya Ear Remix,Craig Mack,Hip-Hop,1994,302013,0.272,0.52,0.847,0,0.325,-5.3,0.427,177.371
Who Am I (What's My Name)?,Doggystyle,Snoop Dogg,Hip-Hop,1993,246320,0.000136,0.692,0.833,1.98E-05,0.515,-3.974,0.0492,96.814
"Protect Ya Neck (feat. RZA, Method Man, Inspectah Deck, Raekwon, U-God, Ol' Dirty Bastard, Ghostface Killah & GZA)",Enter The Wu-Tang (36 Chambers) [Expanded Edition],Wu-Tang Clan,Hip-Hop,11/9/1993,291066,0.0318,0.817,0.552,7.01E-06,0.826,-10.8,0.385,102.011
Ready or Not,The Score (Expanded Edition),Fugees,Hip-Hop,2/13/1996,226986,0.209,0.607,0.422,0,0.0839,-13.364,0.499,130.47
"Wu-Tang Clan Ain't Nuthing ta F' Wit (feat. RZA, Inspectah Deck & Method Man)",Enter The Wu-Tang (36 Chambers) [Expanded Edition],Wu-Tang Clan,Hip-Hop,11/9/1993,216133,0.199,0.826,0.566,0,0.356,-10.747,0.311,99.131
All Eyez On Me (ft. Big Syke),All Eyez On Me,2Pac,Hip-Hop,1996,307773,0.03,0.873,0.719,0,0.333,-5.948,0.248,93.281
Jump Around,House of Pain (Fine Malt Lyrics),House Of Pain,Hip-Hop,7/21/1994,214946,0.0113,0.854,0.71,8.72E-05,0.166,-6.32,0.0793,106.894
Check Yo Self - Remix,Bootlegs And B-Sides,Ice Cube,Hip-Hop,11/22/1994,273106,0.031,0.934,0.735,8.60E-06,0.107,-6.668,0.251,101.368
Put It On,Lifestylez Ov Da Poor & Dangerous,Big L,Hip-Hop,3/28/1995,217626,0.0175,0.711,0.62,0,0.134,-10.174,0.212,179.817
The Message,It Was Written,Nas,Hip-Hop,7/2/1996,234093,0.00776,0.614,0.543,3.28E-05,0.383,-7.178,0.374,178.422
MC's Act Like They Don't Know,KRS-One,KRS-One,Hip-Hop,10/10/1995,295933,0.0101,0.855,0.798,0.000615,0.628,-4.018,0.237,90.429
Mathematics,Black On Both Sides,Mos Def,Hip-Hop,10/12/1999,246440,0.0285,0.753,0.749,0,0.0845,-6.132,0.316,93.79
Mind Playing Tricks on Me,We Can't Be Stopped,Geto Boys,Hip-Hop,7/2/1991,308733,0.207,0.886,0.512,0,0.0991,-11.825,0.237,93.997
Gangsta's Paradise,Gangsta's Paradise,Coolio,Hip-Hop,11/7/1995,240693,0.0655,0.647,0.514,0,0.398,-10.05,0.0593,79.974
Real Muthaphuckkin' G's,Gangsta Memorial,Eazy-E,Hip-Hop,1/1/2007,332733,0.0164,0.724,0.853,0,0.65,-3.895,0.283,170.51
Gimme Some More,Extinction Level Event: The Final World Front,Busta Rhymes,Hip-Hop,1998,158466,0.00832,0.591,0.855,5.87E-05,0.771,-8.339,0.339,136.734
Don't Sweat The Technique,Don't Sweat The Technique,Eric B. & Rakim,Hip-Hop,1/1/1992,262800,0.00556,0.737,0.89,0.00171,0.0801,-8.443,0.158,105.848
Simon Says,Internal Affairs,Pharoahe Monch,Hip-Hop,10/18/2019,173373,0.141,0.622,0.913,2.71E-05,0.12,-3.701,0.462,92.222
I Get Around,Strictly 4 My N.I.G.G.A.Z...,2Pac,Hip-Hop,2/16/1993,259000,0.156,0.846,0.416,9.34E-06,0.238,-13.767,0.118,96.188
"Shame On a Nigga (feat. Raekwon, Ol' Dirty Bastard & Method Man)",Enter The Wu-Tang (36 Chambers) [Expanded Edition],Wu-Tang Clan,Hip-Hop,11/9/1993,177066,0.0854,0.889,0.466,7.37E-06,0.384,-10.74,0.36,100.17
Who Shot Ya? - 2005 Remaster,Ready to Die (The Remaster),The Notorious B.I.G.,Hip-Hop,9/13/1994,319360,0.256,0.831,0.682,0,0.494,-5.697,0.238,91.771
Ain't No Half-Steppin',Long Live The Kane,Big Daddy Kane,Hip-Hop,1/1/1988,319906,0.00569,0.836,0.728,0.000819,0.0649,-12.058,0.234,100.842
They Want EFX,Dead Serious,Das EFX,Hip-Hop,4/7/1992,221400,0.115,0.755,0.459,0,0.0851,-12.84,0.358,98.454
Fuck Tha Police,Straight Outta Compton,N.W.A.,Hip-Hop,8/8/1988,345717,0.0193,0.859,0.75,0,0.0538,-8.325,0.303,98.691
Boyz-N-The-Hood,N.W.A. And The Posse,N.W.A.,Hip-Hop,1/1/1987,339893,0.0417,0.785,0.479,3.50E-05,0.334,-10.247,0.362,87.691
No Vaseline,Death Certificate (25th Anniversary Edition),Ice Cube,Hip-Hop,6/9/2017,313053,0.179,0.777,0.957,0,0.296,-3.201,0.319,105.756
Keep Their Heads Ringin',Keep Their Heads Ringin',Dr. Dre,Hip-Hop,3/7/1995,310226,0.0338,0.671,0.737,0.00344,0.0596,-5.131,0.108,90.519
Gangsta Nation,Terrorist Threats,Westside Connection,Hip-Hop,12/9/2003,293053,0.127,0.843,0.7,0,0.876,-3.249,0.26,95.05
Woo Hah!! Got You All in Check,The Coming,Busta Rhymes,Hip-Hop,1996,271973,0.127,0.842,0.831,0,0.0881,-7.072,0.242,92.053
Alwayz Into Somethin',Efil4zaggin,N.W.A.,Hip-Hop,5/28/1991,264960,0.0114,0.709,0.874,0,0.213,-4.522,0.193,88.546
Only God Can Judge Me (ft. Rappin' 4-Tay),All Eyez On Me,2Pac,Hip-Hop,1996,296906,0.0012,0.803,0.784,0.000161,0.0794,-5.97,0.198,90.185
Know The Ledge,Don't Sweat The Technique,Eric B. & Rakim,Hip-Hop,1/1/1992,238866,0.0289,0.794,0.88,2.52E-05,0.0683,-9.77,0.162,115.666
Watch Out Now,A Musical Massacre (Explicit),The Beatnuts,Hip-Hop,8/10/1999,174800,0.0969,0.783,0.633,0.000994,0.154,-6.983,0.291,100.428
What's The Difference,2001,Dr. Dre,Hip-Hop,11/16/1999,244200,0.223,0.772,0.821,0,0.148,-0.14,0.25,91.921
Gangsta Gangsta,Straight Outta Compton,N.W.A.,Hip-Hop,8/8/1988,336917,0.0279,0.894,0.698,3.56E-06,0.329,-8.264,0.275,98.104
Ruff Ryders' Anthem,It's Dark And Hell Is Hot,DMX,Hip-Hop,5/1/1998,214440,0.0564,0.88,0.577,1.02E-06,0.201,-8.093,0.302,90.991
Microphone Fiend,Follow The Leader,Eric B. & Rakim,Hip-Hop,1988,314600,0.354,0.586,0.795,0,0.187,-8.71,0.258,94.101
Dangerous,When Disaster Strikes...,Busta Rhymes,Hip-Hop,1997,217640,0.0096,0.913,0.6,0,0.117,-8.446,0.202,103.268
"Nuthin' But A ""G"" Thang",The Chronic,Dr. Dre,Hip-Hop,12/15/1992,238466,0.00575,0.801,0.699,0,0.146,-8.18,0.279,94.605
Summertime,Homebase,DJ Jazzy Jeff & The Fresh Prince,Hip-Hop,7/9/1991,270973,0.0455,0.677,0.539,1.84E-06,0.845,-14.439,0.063,95.116
Me Myself And I,"Smooth Hip-Hop, Vol. 2",Various Artists,Hip-Hop,1/8/1997,224693,0.0711,0.898,0.92,5.92E-05,0.0908,-7.859,0.0636,114.343
Shoop,Very Necessary,Salt-N-Pepa,Hip-Hop,10/12/1993,248573,0.0915,0.939,0.675,0,0.0565,-7.232,0.211,96.918
Full Clip,Full Clip: A Decade Of Gang Starr,Gang Starr,Hip-Hop,7/13/1999,217440,0.0227,0.875,0.745,2.37E-06,0.287,-5.878,0.269,95.201
Mama Said Knock You Out,Mama Said Knock You Out,LL Cool J,Hip-Hop,8/27/1990,289693,0.0314,0.791,0.759,0.674,0.255,-7.378,0.129,102.382
Here Comes the Hotstepper,Reggae Classics,Various Artists,Hip-Hop,12/28/2007,247466,0.017,0.707,0.525,0.000162,0.0771,-7.356,0.302,200.753
Hate It Or Love It,The Documentary,The Game,Hip-Hop,2005,206400,0.14,0.802,0.785,0,0.123,-4.781,0.207,99.998
Westside Story,The Documentary,The Game,Hip-Hop,2005,223066,0.16,0.876,0.647,0,0.238,-3.917,0.28,86.993
Bring The Pain,Tical,Method Man,Hip-Hop,11/15/1994,189760,0.38,0.835,0.456,0.00359,0.16,-10.195,0.266,101.889
Big Poppa - 2005 Remaster,Ready to Die (The Remaster),The Notorious B.I.G.,Hip-Hop,9/13/1994,252746,0.43,0.78,0.575,0,0.143,-7.247,0.273,84.492
Bladow!!,Anarchy,Busta Rhymes,Hip-Hop,6/9/2000,220373,0.0398,0.764,0.705,0.0005,0.0392,-7.39,0.279,88.357
Live It Up,Anarchy,Busta Rhymes,Hip-Hop,6/9/2000,221960,0.00385,0.958,0.334,1.07E-06,0.113,-8.172,0.345,105.93
Here We Go Again (feat. The Flipmode Squad),Anarchy,Busta Rhymes,Hip-Hop,6/9/2000,208600,0.0273,0.711,0.717,0,0.336,-8.4,0.343,100.106
"C'mon All My Niggaz, C'mon All My Bitches",Anarchy,Busta Rhymes,Hip-Hop,6/9/2000,174866,0.0266,0.496,0.589,0,0.0574,-5.962,0.447,71.63
Why We Die (feat. DMX & Jay-Z),Anarchy,Busta Rhymes,Hip-Hop,6/9/2000,239093,0.000985,0.543,0.7,0,0.107,-6.979,0.345,80.636
Make Noise (feat. Lenny Kravitz),Anarchy,Busta Rhymes,Hip-Hop,6/9/2000,197960,0.159,0.698,0.818,0,0.631,-8.07,0.398,99.236
Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,Genesis,Busta Rhymes,Hip-Hop,11/7/2001,238600,0.0844,0.697,0.793,0,0.0619,-4.699,0.323,89.767
We Got What You Want,Genesis,Busta Rhymes,Hip-Hop,11/7/2001,231506,0.00331,0.617,0.462,0,0.12,-5.311,0.49,80.845
Bounce,Genesis,Busta Rhymes,Hip-Hop,11/7/2001,199493,0.0906,0.594,0.831,0,0.113,-2.966,0.41,78.35
Holla,Genesis,Busta Rhymes,Hip-Hop,11/7/2001,274706,0.138,0.782,0.789,0.00401,0.104,-4.077,0.478,94.811
Wife In Law (feat. Jaheim) - Alternate Version,Genesis,Busta Rhymes,Hip-Hop,11/7/2001,243360,0.0657,0.88,0.502,0,0.612,-8.196,0.683,91.103
Ass On Your Shoulders (feat. Kokane),Genesis,Busta Rhymes,Hip-Hop,11/7/2001,282973,0.071,0.81,0.692,0,0.672,-5.136,0.393,51.451
Make It Hurt,Genesis,Busta Rhymes,Hip-Hop,11/7/2001,203360,0.0536,0.55,0.88,1.27E-06,0.641,-4.845,0.339,124.274
What It Is (feat. Kelis),Genesis,Busta Rhymes,Hip-Hop,11/7/2001,218906,0.22,0.937,0.611,3.78E-06,0.0589,-4.631,0.204,100.957
