,name,album,artist,artist_genre,release_date,length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo
0,"Pavane, Op. 50",Classic Williams -- Romance of the Guitar,John Williams,['classical guitar'],1984,306800,0.976,0.345,0.0534,0.892,0.112,-24.109,0.03,143.742
1,<3,<3 - Single,Thomas Bergersen,"['epicore', 'soundtrack', 'video game music']",2011-03-18,189360,0.921,0.145,0.126,0.784,0.0733,-14.125,0.0359,66.381
2,"Beethoven: Piano Concerto No. 5 in E-Flat Major, Op. 73, ""Emperor"": II. Adagio un poco mosso (Arr. for Harp)",Relax,Various Artists,[],2008-09-08,421733,0.973,0.372,0.0556,0.862,0.11,-25.647,0.041,183.835
3,"Pavane pour une infante défunte (Pavane for a Dead Princess), M. 19",The 50 Most Essential Relaxing Classics,Various Artists,[],2010-11-30,398840,0.973,0.173,0.0893,0.942,0.13,-26.387,0.0383,74.082
4,The Universal,The Alternative Classical Chillout Album,Royal Philharmonic Orchestra,"['british orchestra', 'orchestra']",2002,200400,0.801,0.373,0.0799,0.181,0.0988,-16.334,0.0329,143.075
5,Soul Destination,Soul Destination,Matthias De Jaeger,[],2021-11-25,162744,0.99,0.405,0.0683,0.93,0.118,-19.082,0.0471,121.822
6,"Horner: My Heart Will Go On (Love Theme From ""Titanic"") [Arr. for Orchestra]",50 Best Film,Various Artists,[],2010-09-06,262466,0.894,0.0896,0.225,0.902,0.148,-15.439,0.0372,73.044
7,Sheep may safely graze from Cantata No. 208 (arr. Marriner),100 Best Relaxing Classics,Various Artists,[],2007-04-20,279360,0.959,0.204,0.0816,0.943,0.123,-22.315,0.0442,109.15
8,"Morricone: Gabriel's Oboe (From ""The Mission"")",Relax,Various Artists,[],2008-09-08,134613,0.921,0.245,0.123,0.893,0.0752,-21.068,0.041,60.832
9,Barry: You Only Live Twice (Main Theme),50 Best Film,Various Artists,[],2010-09-06,176853,0.69,0.131,0.169,0.711,0.353,-18.479,0.0327,79.409
10,3 Gymnopédies: 1. Lent et douloureux,Classical Chillout,Various Artists,[],2009-04-27,195506,0.996,0.455,0.0285,0.959,0.102,-34.835,0.0794,79.452
11,"Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio",Relax,Various Artists,[],2008-09-08,399000,0.98,0.12,0.0384,0.768,0.104,-23.13,0.0425,92.792
12,"Handel / Arr. Hale: Keyboard Suite in D Minor, HWV 437: III. Sarabande (Arr. Hale for Orchestra)",Classical Chillout,Various Artists,[],2009-04-27,205840,0.918,0.21,0.0514,0.813,0.1,-21.496,0.0455,111.475
13,"Vivaldi: Violin Concerto in F Minor, RV 297, ""L'inverno"": II. Largo (from ""Il cimento dell'armonia e dell'inventione"", Op. 8, No. 4)",Relax,Various Artists,[],2008-09-08,128800,0.888,0.234,0.106,0.00298,0.277,-24.16,0.0586,141.982
14,Mascagni: Cavalleria Rusticana - Intermezzo,50 Best Film,Various Artists,[],2010-09-06,223786,0.769,0.101,0.115,0.891,0.406,-17.553,0.0392,84.976
15,"Concerto for Violin, Oboe and Strings in D minor BWV 1060 - 1991 Remastered Version",Classical Chillout,Various Artists,[],2009-04-27,357453,0.797,0.194,0.136,0.144,0.321,-23.987,0.0418,77.767
16,Jenkins: The Armed Man (A Mass for Peace): X. Agnus Dei,Relax,Various Artists,[],2008-09-08,218520,0.981,0.239,0.134,0.828,0.0781,-19.858,0.0345,55.53
17,Shore: Lord of the Rings: The Fellowship,50 Best Film,Various Artists,[],2010-09-06,354600,0.842,0.0812,0.197,0.956,0.115,-17.511,0.0452,81.912
18,Mozart: Piano Concerto No. 21 in C K467 'Elvira Madigan': II. Andante,100 Best Relaxing Classics,Various Artists,[],2007-04-20,408613,0.986,0.229,0.0637,0.949,0.0921,-24.687,0.035,96.28
19,"Giazzotto: Adagio for Strings and Organ in G Minor, ""Albinoni's Adagio"" (Excerpt)",Relax,Various Artists,[],2008-09-08,352146,0.679,0.0958,0.0981,0.76,0.121,-20.357,0.0432,86.385
20,Braveheart-End Titles,50 Best Film,Various Artists,[],2010-09-06,426560,0.745,0.0954,0.0781,0.699,0.0883,-21.151,0.0388,87.94
21,"Vaughan Williams: The Lark Ascending, for Violin and Orchestra (Excerpt, Opening)",Relax,Various Artists,[],2008-09-08,385266,0.848,0.146,0.0774,0.456,0.0953,-25.384,0.0427,102.456
22,"Nyman: Music for Jane Campion's Film ""The Piano"": No. 4 ""The Heart Asks Pleasure First"" - No. 6 ""The Promise""",Classical Chillout,Various Artists,[],2009-04-27,192973,0.96,0.229,0.227,0.944,0.0948,-16.967,0.0298,177.313
23,"Mozart: Flute and Harp Concerto in C Major, K. 299/297c (Excerpt): II. Andantino - 1985 Remastered Version",Relax,Various Artists,[],2008-09-08,240773,0.981,0.264,0.113,0.934,0.107,-19.86,0.0407,116.989
24,Sanctus,Classical Chillout,Various Artists,[],2009-04-27,189080,0.941,0.181,0.174,0.775,0.141,-16.683,0.0373,97.736
25,"Elgar: Variations on a Theme, Op. 36, ""Enigma"": IX. Nimrod (Adagio)",Relax,Various Artists,[],2008-09-08,237160,0.981,0.0618,0.19,0.801,0.105,-16.299,0.038,59.032
26,Saving Private Ryan - Hymn to the Fallen,50 Best Film,Various Artists,[],2010-09-06,365026,0.85,0.21,0.149,0.932,0.124,-18.826,0.0363,127.415
27,En Aranjuez Con Tu Amor,Classical Chillout,Various Artists,[],2009-04-27,325093,0.971,0.247,0.0352,0.00863,0.0803,-19.278,0.0455,129.192
28,"Beethoven: Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2, ""Moonlight"": I. Adagio sostenuto (Excerpt)",Relax,Various Artists,[],2008-09-08,237120,0.996,0.276,0.0127,0.918,0.148,-34.464,0.0485,75.004
