,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo
34,N.Y. State of Mind,Illmatic XX,Nas,2014-04-15,293973,58,0.665,0.0394,0.665,0.91,0.0,0.227,-4.682,0.223,84.099
35,Sound of da Police,Return of the Boom Bap,KRS-One,1993-09-03,258506,62,0.794,0.124,0.794,0.95,7.71e-05,0.133,-8.78,0.294,94.984
36,Passin' Me By,Bizarre Ride II The Pharcyde,The Pharcyde,1992-11-24,303493,67,0.759,0.0903,0.759,0.756,2.36e-06,0.265,-8.145,0.266,87.059
37,"Flava in Ya Ear Remix (feat. Notorious B.I.G., L.L. Cool J, Busta Rhymes, Rampage)",Flava In Ya Ear Remix,Craig Mack,1994,302013,56,0.52,0.272,0.52,0.847,0.0,0.325,-5.3,0.427,177.371
38,Who Am I (What's My Name)?,Doggystyle,Snoop Dogg,1993,246320,49,0.692,0.000136,0.692,0.833,1.98e-05,0.515,-3.974,0.0492,96.814
39,"Protect Ya Neck (feat. RZA, Method Man, Inspectah Deck, Raekwon, U-God, Ol' Dirty Bastard, Ghostface Killah & GZA)",Enter The Wu-Tang (36 Chambers) [Expanded Edition],Wu-Tang Clan,1993-11-09,291066,65,0.817,0.0318,0.817,0.552,7.01e-06,0.826,-10.8,0.385,102.011
40,Ready or Not,The Score (Expanded Edition),Fugees,1996-02-13,226986,69,0.607,0.209,0.607,0.422,0.0,0.0839,-13.364,0.499,130.47
41,"Wu-Tang Clan Ain't Nuthing ta F' Wit (feat. RZA, Inspectah Deck & Method Man)",Enter The Wu-Tang (36 Chambers) [Expanded Edition],Wu-Tang Clan,1993-11-09,216133,64,0.826,0.199,0.826,0.566,0.0,0.356,-10.747,0.311,99.131
42,All Eyez On Me (ft. Big Syke),All Eyez On Me,2Pac,1996,307773,4,0.873,0.03,0.873,0.719,0.0,0.333,-5.948,0.248,93.281
43,Jump Around,House of Pain (Fine Malt Lyrics),House Of Pain,1994-07-21,214946,15,0.854,0.0113,0.854,0.71,8.72e-05,0.166,-6.32,0.0793,106.894
44,Check Yo Self - Remix,Bootlegs And B-Sides,Ice Cube,1994-11-22,273106,69,0.934,0.031,0.934,0.735,8.6e-06,0.107,-6.668,0.251,101.368
45,Put It On,Lifestylez Ov Da Poor & Dangerous,Big L,1995-03-28,217626,61,0.711,0.0175,0.711,0.62,0.0,0.134,-10.174,0.212,179.817
46,The Message,It Was Written,Nas,1996-07-02,234093,62,0.614,0.00776,0.614,0.543,3.28e-05,0.383,-7.178,0.374,178.422
47,MC's Act Like They Don't Know,KRS-One,KRS-One,1995-10-10,295933,54,0.855,0.0101,0.855,0.798,0.000615,0.628,-4.018,0.237,90.429
48,Mathematics,Black On Both Sides,Mos Def,1999-10-12,246440,60,0.753,0.0285,0.753,0.749,0.0,0.0845,-6.132,0.316,93.79
