acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,genre
0.994,0.527,159333,0.0291,0.917,G,0.0959,-31.347,Major,0.0741,99.331,0.28,
0.996,0.488,125562,0.0017,0.958,E,0.0787,-38.405,Major,0.0602,140.76,0.176,
0.931,0.362,80529,0.1,0,F#,0.56,-24.371,Major,0.117,84.789,0.28,
0.981,0.219,248613,0.0323,0.946,C#,0.127,-31.578,Major,0.0431,61.167,0.0605,
0.989,0.223,241547,0.0152,0.018,G,0.0789,-27.658,Minor,0.057,75.327,0.0373,
0.925,0.36,384827,0.323,0.864,E,0.112,-11.48,Major,0.0423,133.8,0.168,
0.964,0.272,357733,0.0448,0.922,D,0.108,-20.305,Major,0.0419,99.551,0.114,
0.893,0.1,209000,0.0221,0.853,C,0.336,-25.052,Major,0.0348,89.823,0.0642,
0.995,0.266,309707,0.0143,0.897,A,0.0801,-30.516,Minor,0.0381,70.89,0.0498,
0.991,0.444,161213,0.044,0.853,A,0.0922,-30.631,Major,0.052,137.353,0.178,
0.954,0.311,215747,0.258,0.00103,G,0.0793,-15.086,Major,0.0723,78.022,0.185,
0.853,0.105,291107,0.079,0.882,G#,0.132,-18.03,Major,0.0479,81.056,0.0348,
0.993,0.248,77333,0.134,0.904,A,0.115,-14.98,Major,0.0476,87.362,0.599,
0.993,0.336,333227,0.0143,0.921,C#,0.074,-29.32,Major,0.0412,114.087,0.0362,
0.994,0.31,353653,0.014,0.905,F,0.0766,-33.799,Major,0.048,64.457,0.183,
0.993,0.246,128013,0.00592,0.898,D,0.067,-38.92,Minor,0.0466,65.342,0.0696,
0.904,0.291,374867,0.172,0.148,G,0.324,-17.734,Minor,0.0477,135.407,0.0529,
0.994,0.401,318440,0.0323,0.922,C#,0.0989,-25.753,Minor,0.0474,62.836,0.117,
0.983,0.221,379973,0.0116,0.954,E,0.0741,-35.191,Major,0.0364,104.082,0.0392,
0.984,0.307,198360,0.177,0.919,C,0.091,-18.838,Minor,0.0332,103.878,0.348,
0.98,0.309,446733,0.179,0.893,F#,0.37,-17.873,Major,0.0339,96.359,0.143,
0.938,0.164,876267,0.224,0.905,A,0.102,-17.004,Major,0.0316,90.425,0.0993,
0.799,0.31,256840,0.23,0.00375,D,0.0854,-18.279,Major,0.0467,76.356,0.517,
0.995,0.416,190560,0.004,0.926,G,0.0986,-37.799,Major,0.046,81.221,0.445,
0.972,0.241,384187,0.0282,0.892,F,0.33,-31.418,Major,0.0447,115.069,0.0908,
0.988,0.382,587053,0.0847,0.897,C#,0.103,-21.505,Major,0.0421,131.392,0.0638,
0.995,0.309,216787,0.0302,0.891,C#,0.0801,-28.513,Minor,0.0556,68.364,0.0588,
0.99,0.173,181360,0.0165,0.887,C,0.137,-33.316,Minor,0.0448,84.702,0.0662,
0.989,0.139,255280,0.026,0.932,F,0.123,-26.239,Major,0.0472,75.405,0.0423,
0.908,0.259,477707,0.144,0.0895,C,0.279,-19.462,Minor,0.0399,92.977,0.119,
0.803,0.193,251173,0.00709,0.208,G,0.0981,-33.602,Minor,0.0436,94.681,0.037,
0.899,0.167,275760,0.00602,0.896,D#,0.12,-32.302,Minor,0.0432,128.603,0.0794,
0.97,0.358,475387,0.309,0.862,G,0.499,-15.051,Major,0.0366,87.421,0.321,
0.985,0.34,200360,0.0247,1.47E-05,D#,0.075,-26.467,Major,0.0602,93.858,0.1,
0.991,0.416,131200,0.0164,0.866,F,0.116,-25.933,Major,0.0483,110.635,0.0365,
0.905,0.375,178440,0.0712,0.945,F#,0.0682,-27.043,Major,0.0392,81.659,0.194,
0.888,0.222,508840,0.409,0.549,F,0.211,-15.468,Minor,0.0552,78.03,0.118,
0.993,0.288,135133,0.144,0.795,D,0.164,-20.483,Minor,0.0388,55.322,0.0682,
0.995,0.467,224827,0.00329,0.955,G,0.0756,-34.051,Major,0.0627,101.987,0.377,
0.00114,0.665,218653,0.869,0.918,C#,0.0507,-5.35,Major,0.0435,130.005,0.526,
0.844,0.241,250984,0.367,0.00279,G,0.0873,-7.95,Major,0.0311,135.267,0.302,
0.976,0.424,58760,0.383,0.874,D,0.319,-14.73,Major,0.0432,176.359,0.661,
0.887,0.265,259160,0.241,0.00221,C,0.0969,-11.583,Major,0.0335,95.991,0.0957,
0.994,0.414,113133,0.108,0.879,C,0.0753,-27.302,Major,0.0546,127.295,0.216,
0.994,0.331,253573,0.169,0.886,A,0.121,-19.859,Major,0.0325,97.836,0.258,
0.993,0.261,181893,0.0275,0.916,F#,0.0956,-28.488,Major,0.0408,138.825,0.0624,
0.995,0.423,116347,0.00715,0.916,C,0.0864,-38.388,Major,0.0583,134.827,0.698,
0.992,0.426,230000,0.132,0.886,C#,0.117,-20.064,Minor,0.0428,136.938,0.0645,
0.842,0.168,170642,0.201,0.937,C,0.0995,-19.846,Major,0.0404,127.157,0.0368,
0.00225,0.547,232667,0.571,0.895,D,0.105,-10.848,Major,0.0384,130.806,0.168,
6.50E-05,0.464,381227,0.99,1.13E-05,C,0.773,-3.706,Major,0.102,100.011,0.309,
0.982,0.189,65613,0.171,0.95,C,0.23,-25.817,Major,0.0431,181.64,0.206,
0.00301,0.456,236067,0.95,4.92E-05,F,0.0767,-6.251,Major,0.0835,91.081,0.395,
0.953,0.414,352467,0.26,0,G,0.865,-22.16,Minor,0.469,85.062,0.564,
0.85,0.0982,302200,0.127,0.913,A,0.106,-17.731,Minor,0.0367,81.303,0.0381,
0.975,0.44,235880,0.236,0.883,G,0.187,-13.204,Major,0.0297,102.115,0.233,
0.947,0.0976,517000,0.0125,0.644,F,0.154,-32.947,Minor,0.0393,88.711,0.03,
0.849,0.19,581000,0.0226,4.47E-05,F,0.0617,-35.098,Major,0.0378,79.178,0.0333,
0.931,0.338,284480,0.096,0.000191,C,0.169,-19.012,Major,0.0543,121.592,0.337,
0.994,0.251,452107,0.00784,0.95,B,0.131,-31.625,Major,0.0491,76.265,0.0604,
0.0018,0.528,266413,0.879,0.000111,A,0.209,-5.343,Major,0.0545,90.062,0.553,
0.951,0.216,408040,0.0831,0.621,C,0.31,-22.083,Major,0.049,165.36,0.0782,
0.984,0.378,117333,0.0792,0.0104,A#,0.068,-25.611,Major,0.051,62.058,0.244,
0.853,0.404,201493,0.0473,0.0132,F,0.159,-19.96,Major,0.0549,151.406,0.353,
0.989,0.367,109333,0.174,0.823,G,0.168,-33.515,Minor,0.0337,80.283,0.839,
0.993,0.401,156173,0.0429,0.913,D,0.0982,-30.223,Major,0.0379,69.027,0.226,
0.939,0.326,244920,0.156,0,A#,0.117,-16.366,Major,0.0461,113.255,0.162,
0.993,0.464,173107,0.224,0.898,A#,0.114,-25.686,Major,0.0396,99.357,0.725,
0.995,0.259,151320,0.0028,0.864,G#,0.101,-39.683,Major,0.0433,94.036,0.0957,
0.737,0.225,245360,0.298,0.88,C,0.261,-9.425,Minor,0.053,129.701,0.251,
3.42E-05,0.474,319333,0.983,0.00754,C#,0.0813,-4.166,Major,0.229,97.47,0.235,
0.981,0.36,150293,0.098,0.929,G#,0.0883,-21.692,Major,0.0476,71.937,0.0338,
0.995,0.307,71827,0.117,0.89,D,0.101,-22.989,Major,0.0365,72.202,0.838,
0.844,0.116,662507,0.126,0.664,G,0.0824,-16.393,Major,0.0421,84.534,0.0331,
0.744,0.315,364800,0.362,1.32E-06,C#,0.0964,-11.689,Major,0.0337,79.623,0.218,
8.49E-06,0.357,230160,0.944,0.000308,G#,0.561,-5.327,Major,0.0493,199.948,0.496,
0.983,0.539,65387,0.0731,0.00013,G#,0.1,-16.839,Major,0.0435,90.326,0.917,
0.971,0.252,383400,0.193,0.949,F,0.108,-17.863,Major,0.0447,82.903,0.184,
0.957,0.403,101227,0.121,0.85,F#,0.108,-20.111,Major,0.0484,139.701,0.766,
0.991,0.365,285285,0.151,0.898,G#,0.102,-15.769,Major,0.0316,94.982,0.0391,
0.957,0.286,193833,0.226,8.22E-06,G#,0.105,-11.742,Major,0.0394,126.792,0.11,
0.994,0.225,185240,0.0128,0.89,G,0.0708,-30.942,Major,0.0421,60.829,0.0397,
0.957,0.535,64853,0.23,0.925,D#,0.3,-16.614,Major,0.0518,113.364,0.432,
0.994,0.504,139508,0.0314,0.918,A,0.0737,-21.86,Minor,0.0684,76.094,0.128,
0.712,0.433,67667,0.108,0.93,A#,0.544,-19.49,Major,0.034,74.144,0.215,
0.991,0.414,137733,0.0187,0.892,G,0.0513,-39.385,Major,0.0557,74.477,0.195,
0.976,0.469,155040,0.233,0.00365,F,0.169,-19.465,Minor,0.0439,78.008,0.355,
0.996,0.591,147360,0.0693,0.963,C#,0.139,-23.772,Major,0.0577,94.516,0.417,
0.915,0.13,261133,0.0557,0.16,A,0.0757,-21.84,Major,0.0389,82.388,0.0374,
0.786,0.479,51480,0.0139,0.000124,G#,0.0957,-27.424,Minor,0.0384,101.941,0.341,
0.975,0.235,292600,0.144,7.53E-05,D,0.163,-11.303,Major,0.0449,78.639,0.0387,
0.968,0.264,352520,0.177,0.0101,D,0.37,-21.058,Major,0.0669,79.592,0.283,
0.991,0.315,244067,0.0146,0.859,C#,0.0776,-31.689,Minor,0.0447,130.274,0.112,
0.992,0.407,400861,0.156,0.892,G,0.104,-20.821,Minor,0.0325,78.157,0.218,
0.953,0.362,297360,0.0163,0.927,E,0.0609,-33.751,Minor,0.0455,109.126,0.343,
0.005,0.403,290560,0.866,1.62E-06,B,0.135,-5.594,Minor,0.0419,130.662,0.162,
0.991,0.33,714268,0.124,0.902,C,0.704,-22.867,Minor,0.0634,76.776,0.104,
0.971,0.604,64827,0.0355,0.272,C,0.0676,-23.067,Major,0.345,68.748,0.492,
0.993,0.504,223600,0.0639,0.867,F#,0.103,-19.246,Minor,0.0424,106.382,0.0558,
0.948,0.377,206240,0.168,0,G,0.404,-21.252,Major,0.0953,101.255,0.346,
0.996,0.385,75600,0.0273,0.897,A#,0.117,-25.164,Major,0.0532,134.338,0.194,
0.979,0.508,80813,0.0834,0,G,0.348,-25.305,Minor,0.151,112.933,0.0658,
0.995,0.436,461400,0.0111,0.886,F,0.0937,-26.685,Minor,0.0627,108.423,0.124,
0.987,0.226,213920,0.0227,0.679,A,0.106,-28.038,Major,0.0438,79.748,0.0588,
0.953,0.246,251800,0.0751,5.35E-05,A#,0.293,-22.104,Major,0.0472,164.25,0.0429,
2.59E-05,0.485,261300,0.95,0.000189,G,0.375,-7.579,Minor,0.0812,125.025,0.33,
0.754,0.297,278400,0.431,0.000112,D,0.0748,-7.735,Major,0.0327,138.248,0.0892,
0.000106,0.248,315400,0.872,0.00274,F#,0.154,-5.86,Minor,0.048,141.846,0.218,
0.916,0.0993,365147,0.0763,0.937,D,0.38,-27.21,Major,0.0426,88.985,0.067,
0.984,0.274,511933,0.115,0.799,A#,0.295,-22.436,Major,0.0412,84.063,0.281,
0.989,0.396,434427,0.102,0.876,D#,0.0516,-24.052,Major,0.0411,83.385,0.241,
0.947,0.214,845760,0.351,0.908,A,0.0857,-12.66,Minor,0.0385,105.748,0.108,
0.963,0.2,112520,0.0133,2.36E-06,D,0.0668,-31.84,Major,0.0469,89.458,0.0415,
