name,album,artist,artist_genre,release_date,length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo
Blue Moon,Solitude,Billie Holiday,Jazz,1/1/1956,207826,0.982,0.639,0.269,0.12,0.141,-11.435,0.0698,124.866
Say It (Over And Over Again),Ballads (Deluxe Edition - Rudy Van Gelder Remaster),John Coltrane Quartet,Jazz,1963,255960,0.963,0.488,0.124,0.333,0.246,-13.038,0.0404,66.105
Everything Happens to Me,Chet Baker Sings: It Could Happen To You [Original Jazz Classics Remasters] (OJC Remaster),Chet Baker,Jazz,1/1/2010,305186,0.809,0.511,0.193,2.17E-05,0.129,-15.148,0.0439,116.348
'Long As You Know You're Living Yours,Belonging,Keith Jarrett,Jazz,10/1/1974,370866,0.253,0.605,0.376,0.207,0.117,-14.978,0.0322,131.927
This Is Always,Inside Betty Carter,Betty Carter,Jazz,8/2/1993,191960,0.971,0.417,0.0644,0.000134,0.126,-19.687,0.0359,113.713
All The Things You Are,Ella Fitzgerald Sings The Jerome Kern Songbook,Ella Fitzgerald,Jazz,1/1/1963,195666,0.938,0.45,0.154,4.37E-06,0.16,-14.485,0.0373,110.666
My One And Only Love,The Gentle Side Of John Coltrane,John Coltrane,Jazz,1/1/1975,296666,0.988,0.461,0.0546,0.208,0.126,-18.982,0.0362,128.91
Stormy Weather,At Last!,Etta James,Jazz,1960,187666,0.613,0.262,0.356,0,0.175,-8.031,0.0303,174.176
My Foolish Heart,Waltz For Debby [Original Jazz Classics Remasters] (OJC Remaster),Bill Evans Trio,Jazz,1961,297320,0.935,0.395,0.121,0.397,0.697,-23.427,0.0327,114.521
Softly As In A Morning Sunrise,Elegance: The Birth Of The Modern Jazz Quartet,The Modern Jazz Quartet,Jazz,1954,209400,0.709,0.634,0.327,0.0131,0.158,-9.703,0.0551,80.825
But Not For Me - Vocal Version,Chet Baker Sings,Chet Baker,Jazz,1956,184466,0.934,0.626,0.152,6.05E-05,0.12,-14.182,0.0405,82.174
Night And Day,Ella Fitzgerald Sings The Cole Porter Songbook (Expanded Edition),Ella Fitzgerald,Jazz,1/15/1997,184093,0.796,0.45,0.285,0,0.0666,-10.087,0.0414,117.494
Hipsippy Blues,Just Coolin',Art Blakey & The Jazz Messengers,Jazz,7/17/2020,400446,0.713,0.573,0.247,5.64E-05,0.103,-19.282,0.0627,138.234
Misty,Sarah Vaughan's Golden Hits,Sarah Vaughan,Jazz,7/7/1958,179373,0.976,0.224,0.214,0.00094,0.367,-14.455,0.0348,83.906
Porgy (I Loves You Porgy) - Outtake,Waltz For Debby [Original Jazz Classics Remasters] (OJC Remaster),Bill Evans Trio,Jazz,1961,360306,0.92,0.389,0.145,0.876,0.656,-22.965,0.0301,99.541
Line For Lyons,Gerry Mulligan - Paul Desmond Quartet (Expanded Edition),Gerry Mulligan,Jazz,12/1/1957,188960,0.805,0.543,0.133,0.00135,0.125,-16.846,0.1,171.493
Teach Me Tonight,"The Complete Dinah Washington On Mercury, Vol.4 (1954-1956)",Dinah Washington,Jazz,1/1/1988,167493,0.805,0.558,0.231,0,0.142,-11.436,0.0812,73.103
I Can't Give You Anything But Love,Standards,Sonny Clark,Jazz,2/10/1998,232306,0.655,0.749,0.152,0.000254,0.086,-16.745,0.0493,101.779
St. Thomas,Saxophone Colossus,Sonny Rollins,Jazz,1957-04,406266,0.727,0.541,0.607,0.442,0.0997,-8.435,0.0438,104.96
It's A Lovely Day Today,Ella Fitzgerald Sings The Irving Berlin Song Book,Ella Fitzgerald,Jazz,1/1/1958,148266,0.84,0.573,0.275,0,0.196,-10.684,0.0534,140.9
April In Paris,All Or Nothing At All,Billie Holiday,Jazz,1/1/1958,185586,0.927,0.496,0.127,7.07E-05,0.132,-14.211,0.0382,74.746
These Foolish Things (Remastered),The Collection,Lester Young,Jazz,9/1/2014,190933,0.986,0.593,0.103,0.6,0.12,-14.961,0.081,66.283
The Way You Look Tonight - 2003 Remastered,The Complete RCA Victor Recordings,Paul Desmond,Jazz,1963,439506,0.815,0.703,0.187,0.000492,0.225,-16.273,0.0676,126.164
I'll Remember April - Instrumental,Chet In Paris,Chet Baker,Jazz,1/1/2000,352293,0.768,0.435,0.499,0.107,0.131,-8.576,0.0317,121.924
Autumn In New York,Ella And Louis Again,Ella Fitzgerald,Jazz,2/25/1957,356626,0.955,0.425,0.0469,0,0.137,-18.612,0.0354,135.335
Someone To Watch Over Me,Lee Konitz Meets Jimmy Giuffre,Lee Konitz,Jazz,1/1/1959,216360,0.987,0.419,0.0284,0.586,0.105,-24.09,0.0357,71.502
Louise,Hamp & Getz,Lionel Hampton,Jazz,1/1/1955,407800,0.947,0.781,0.106,0.0835,0.12,-17.396,0.0584,113.528
Moon River,Jazz Impressions Of Black Orpheus [Original Jazz Classics Remasters] (OJC Remaster),Vince Guaraldi Trio,Jazz,1/1/2010,321026,0.987,0.319,0.157,0.849,0.138,-19.728,0.0368,191.259
Bye Bye Blackbird,Don't Go To Strangers (Rudy Van Gelder Remaster),Etta Jones,Jazz,1/1/1960,194240,0.867,0.71,0.318,0.00038,0.169,-8.948,0.0432,126.05
Give Me The Simple Life,Alexandria The Great,Lorez Alexandria,Jazz,1/1/1964,140520,0.879,0.716,0.133,0,0.0966,-15.846,0.0421,62.14
Dedicated To You,John Coltrane & Johnny Hartman,John Coltrane,Jazz,1963,330426,0.977,0.413,0.0552,0.00091,0.185,-18.538,0.0346,107.842
