name,album,artist,artist_genre,release_date,length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo
It Never Entered My Mind,Coleman Hawkins Encounters Ben Webster (Expanded Edition),Coleman Hawkins,Jazz,11/1/1959,346920,0.958,0.564,0.097,0.0588,0.119,-16.442,0.038,132.653
How Long Has This Been Going On?,Ella Sings Gershwin,Ella Fitzgerald,Jazz,9/11/1950,197666,0.974,0.303,0.175,1.32E-06,0.105,-14.203,0.0378,168.743
O Pato,Jazz Samba,Stan Getz,Jazz,1/1/1962,149080,0.86,0.608,0.387,0.662,0.187,-20.157,0.0411,91.489
You Go To My Head - 2020 Mix,Nice 'n' Easy (2020 Mix),Frank Sinatra,Jazz,7/25/1960,266800,0.965,0.147,0.215,0.000928,0.184,-14.594,0.0346,171.46
"K̦ln, January 24, 1975, Pt. II C - Live",The K̦ln Concert,Keith Jarrett,Jazz,11/30/1975,416840,0.973,0.27,0.688,0.884,0.669,-16.305,0.0547,75.845
Windows,The Best Of Chick Corea,Chick Corea,Jazz,1/1/1993,191933,0.673,0.503,0.344,0.381,0.096,-19.024,0.0369,108.489
Stormy Weather,Plays the Harold Arlen Song Book,Oscar Peterson,Jazz,1/1/2001,213386,0.99,0.652,0.171,0.864,0.158,-16.1,0.0569,118.883
Almost Like Being In Love,Red Garland's Piano,Red Garland,Jazz,1957,290293,0.873,0.561,0.346,0.399,0.104,-12.596,0.0409,93.689
I'm A Fool To Want You,Ballads,Dexter Gordon,Jazz,1/1/1991,405226,0.978,0.497,0.153,0.809,0.138,-12.65,0.0407,100.222
Stolen Moments,The Awakening,Ahmad Jamal Trio,Jazz,1970,392026,0.89,0.476,0.273,0.9,0.0978,-17.457,0.0334,117.779
Love For Sale,Jazz Queens of the 50's,Various Artists,Jazz,10/8/2013,164840,0.716,0.499,0.434,0,0.165,-11.48,0.0735,119.134
Solitude,Solitude,Billie Holiday,Jazz,1/1/1956,207600,0.984,0.462,0.15,0.000902,0.105,-13.531,0.0522,98.66
I Fall In Love Too Easily,Moon Beams [Original Jazz Classics Remasters],Bill Evans Trio,Jazz,1962,162680,0.955,0.476,0.0794,0.872,0.112,-19.166,0.0365,103.181
Alone Together,Things Are Swingin',Peggy Lee,Jazz,5/4/1959,127800,0.75,0.589,0.386,0,0.15,-8.013,0.0441,142.371
Blue Monk - Rudy Van Gelder Remaster,Thelonious Monk,Thelonious Monk,Jazz,1954,456360,0.66,0.444,0.339,0.103,0.163,-16.936,0.0418,142.112
Foolin' Myself,Motion,Lee Konitz,Jazz,1/1/1961,417320,0.537,0.493,0.295,0.241,0.241,-15.536,0.0489,99.579
Cheek To Cheek,Ella and Louis,Ella Fitzgerald,Jazz,3/7/2000,353266,0.573,0.655,0.31,0,0.119,-13.4,0.0866,121.999
For Lena And Lennie,The Quintessence,Quincy Jones,Jazz,1962,259413,0.84,0.437,0.0857,0.641,0.0898,-18.129,0.0384,73.161
Cheek To Cheek,Ella Fitzgerald Sings The Irving Berlin Song Book,Ella Fitzgerald,Jazz,1/1/1958,228066,0.766,0.632,0.202,0,0.146,-13.068,0.0587,134.298
I Get Along Without You Very Well (Except Sometimes) - Vocal Version,Chet Baker Sings,Chet Baker,Jazz,1956,179640,0.922,0.442,0.033,0.000171,0.151,-23.063,0.041,103.34
What's The Rush,Gerry Mulligan Meets Johnny Hodges,Gerry Mulligan,Jazz,1/1/1959,222360,0.97,0.405,0.0277,0.535,0.114,-21.897,0.033,51.059
Skating In Central Park,Undercurrent,Bill Evans,Jazz,1962,324200,0.993,0.478,0.0294,0.948,0.105,-25.319,0.0453,124.308
On The Sunny Side Of The Street,Sonny Side Up,Sonny Rollins,Jazz,1/1/1957,340960,0.532,0.662,0.331,0.000125,0.253,-12.712,0.0581,120.228
"Straight, No Chaser","Straight, No Chaser",Thelonious Monk,Jazz,1967,688133,0.41,0.465,0.35,0.279,0.135,-12.977,0.0403,93.336
