name,album,artist,artist_genre,release_date,length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo
London Calling - Remastered,London Calling (Remastered),The Clash,Rock,1979,200480,0.123,0.651,0.801,0,0.0825,-7.34,0.0514,133.769
Come Together - Remastered 2009,Abbey Road (Remastered),The Beatles,Rock,9/26/1969,259946,0.0302,0.533,0.376,0.248,0.0926,-11.913,0.0393,165.007
House Of The Rising Sun,The Best Of The Animals,The Animals,Rock,1966-02,269720,0.000825,0.315,0.534,0.108,0.101,-7.552,0.031,116.891
Sweet Child O' Mine,Appetite For Destruction,Guns N' Roses,Rock,7/21/1987,356066,0.0901,0.446,0.952,0.0857,0.112,-5.321,0.0523,125.303
Sultans of Swing,Dire Straits,Dire Straits,Rock,10/7/1978,350400,0.0632,0.73,0.868,0.0661,0.318,-7.325,0.0288,148.217
Wonderwall - Remastered,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],Oasis,Rock,10/2/1995,258732,0.000453,0.372,0.865,0,0.234,-4.918,0.0381,174.53
One Way Or Another - Remastered,One Way Or Another,Blondie,Rock,1979,212706,0.0118,0.45,0.877,4.95E-05,0.0699,-6.403,0.0532,162.477
Song 2 - 2012 Remaster,Blur (Special Edition),Blur,Rock,2/10/1997,121160,0.00178,0.674,0.789,0.00708,0.0753,-6.903,0.0676,129.802
Heart-Shaped Box,In Utero - 20th Anniversary - Deluxe Edition,Nirvana,Rock,9/21/1993,281160,0.199,0.256,0.641,0.0329,0.0853,-10.283,0.0552,203.006
American Girl,Tom Petty & The Heartbreakers,Tom Petty and the Heartbreakers,Rock,11/9/1976,214733,0.448,0.55,0.824,0.000127,0.366,-5.988,0.0334,114.512
Edge of Seventeen - 2016 Remaster,Bella Donna (Deluxe Edition),Stevie Nicks,Rock,11/4/2016,329413,0.327,0.591,0.804,5.98E-06,0.0818,-7.299,0.0454,111.457
White Riot - Remastered,The Clash (Remastered),The Clash,Rock,1977,116440,0.000598,0.168,0.974,0.783,0.295,-4.862,0.0655,205.278
Basket Case,Dookie,Green Day,Rock,2/1/1994,181533,0.00293,0.442,0.943,8.71E-06,0.091,-3.205,0.0602,85.064
Jump - 2015 Remaster,The Collection,Van Halen,Rock,3/27/2015,241599,0.171,0.572,0.835,0.000377,0.0702,-6.219,0.0317,129.981
Stairway to Heaven - Remaster,Led Zeppelin IV (Remaster),Led Zeppelin,Rock,11/8/1971,482830,0.58,0.338,0.34,0.0032,0.116,-12.049,0.0339,82.433
Sheena Is a Punk Rocker - 2017 Remaster,Rocket to Russia (40th Anniversary Deluxe Edition),Ramones,Rock,11/4/1977,169920,0.0981,0.42,0.965,0.000335,0.0784,-1.986,0.0403,176.243
Starman - 2012 Remaster,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),David Bowie,Rock,6/6/1972,254293,0.166,0.486,0.449,2.23E-06,0.54,-10.298,0.0267,100.456
Bohemian Rhapsody - Remastered 2011,A Night At The Opera (2011 Remaster),Queen,Rock,11/21/1975,354320,0.271,0.414,0.404,0,0.3,-9.928,0.0499,71.105
The Boys Are Back In Town,Jailbreak (Deluxe Edition),Thin Lizzy,Rock,1976,266720,0.234,0.445,0.706,0.000252,0.205,-9.803,0.0461,80.823
We Got The Beat - 2011 Remaster,Beauty And The Beat (30th Anniversary Deluxe Edition),The Go-Go's,Rock,7/8/1981,151106,0.195,0.595,0.996,0.0345,0.0351,-3.418,0.0599,152.049
