genre,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Rap,0.041,0.611,189667,0.804,0.0,C#,0.418,-5.633,Major,0.276,162.087,0.374
Rap,0.0562,0.625,161698,0.479,0.0,C#,0.0715,-8.768,Major,0.272,98.027,0.555
Rap,0.0199,0.692,187873,0.674,0.0,B,0.0957,-5.576,Minor,0.0955,134.983,0.485
Rap,0.0291,0.849,200098,0.476,0.0,G#,0.0589,-8.455,Major,0.182,134.955,0.482
Rap,0.00823,0.857,140793,0.642,0.0,C,0.106,-3.656,Major,0.0588,150.06,0.0658
Rap,0.326,0.726,238743,0.524,0.0,G,0.171,-4.257,Major,0.104,95.028,0.5
Rap,0.13,0.768,181025,0.704,0.0,C#,0.199,-5.657,Major,0.191,150.015,0.59
Rap,0.13,0.832,287760,0.82,2.09e-06,G#,0.0568,-2.268,Major,0.0896,92.454,0.831
Rap,0.38,0.396,59293,0.859,0.0,G,0.672,-3.365,Major,0.298,59.64,0.658
Rap,0.00105,0.64,240613,0.783,0.0,D,0.384,-6.575,Major,0.0372,90.998,0.17
Rap,0.0107,0.693,244733,0.649,1.88e-05,F#,0.15,-5.158,Minor,0.387,183.917,0.325
Rap,0.528,0.671,163076,0.661,0.002,A,0.153,-5.565,Minor,0.0512,168.147,0.345
Rap,0.00735,0.756,170539,0.814,0.0,C,0.143,-5.398,Major,0.0416,146.99,0.709
Rap,0.0188,0.654,149417,0.793,0.0,C#,0.419,-4.92,Major,0.222,160.119,0.706
Rap,0.689,0.676,255373,0.618,0.00821,D,0.127,-7.495,Minor,0.196,79.799,0.466
Rap,0.648,0.66,141310,0.361,0.0,G#,0.475,-8.88,Minor,0.343,80.43,0.676
Rap,0.13,0.573,234853,0.599,0.0,C#,0.0642,-4.584,Major,0.352,120.142,0.45
Rap,0.423,0.639,82286,0.631,0.000251,E,0.709,-5.98,Minor,0.107,140.121,0.531
Rap,0.217,0.697,217126,0.659,0.0,A#,0.254,-5.544,Major,0.104,150.941,0.49
Rap,0.0509,0.687,170625,0.728,0.0,F#,0.216,-4.969,Minor,0.125,127.95,0.439
Rap,0.375,0.438,443987,0.593,1.8e-05,D,0.388,-7.786,Major,0.049,127.994,0.0791
Rap,0.107,0.79,183080,0.661,0.0,B,0.14,-5.355,Major,0.0536,144.966,0.674
Rap,0.149,0.658,258507,0.62,1.22e-05,F#,0.157,-6.634,Minor,0.0517,89.955,0.522
Rap,0.0266,0.466,313573,0.833,0.0,G,0.0327,-4.215,Major,0.304,88.785,0.661
Rap,0.198,0.8,263430,0.706,0.0,G#,0.118,-6.134,Major,0.327,145.938,0.394
Rap,0.283,0.465,466280,0.479,0.0165,G#,0.106,-10.032,Minor,0.0913,121.472,0.137
Rap,0.272,0.52,302013,0.847,0.0,A,0.325,-5.3,Major,0.427,177.371,0.799
Rap,0.0355,0.823,235067,0.567,0.0,G,0.103,-4.392,Major,0.103,89.979,0.372
Rap,0.152,0.863,173793,0.491,0.0,C#,0.133,-8.51,Major,0.259,132.968,0.37
Rap,0.156,0.652,304607,0.795,0.0,B,0.123,-5.192,Minor,0.174,135.018,0.788
Rap,0.0982,0.756,181543,0.615,0.0,D#,0.114,-6.351,Major,0.122,74.995,0.427
Rap,0.016,0.64,252653,0.62,0.0,C#,0.0831,-5.931,Major,0.416,129.37,0.609
Rap,0.0783,0.772,196612,0.705,0.0,G#,0.124,-5.37,Major,0.0925,166.077,0.587
Rap,0.000426,0.448,286000,0.976,0.000182,C,0.0884,-3.649,Major,0.0749,184.076,0.585
Rap,0.0106,0.662,221187,0.72,0.0392,C#,0.0499,-9.242,Major,0.12,135.253,0.0789
Rap,0.0481,0.763,322573,0.566,0.0,B,0.14,-6.951,Major,0.185,90.0,0.249
Rap,0.0147,0.664,261337,0.687,0.0,C,0.119,-5.943,Major,0.14,90.059,0.148
Rap,0.00122,0.587,203119,0.879,0.0,D,0.125,-5.887,Major,0.0547,108.905,0.395
Rap,0.872,0.572,188065,0.634,0.000543,G,0.432,-9.726,Major,0.305,80.265,0.393
Rap,0.022,0.932,181714,0.506,0.0,B,0.0933,-7.755,Major,0.161,139.974,0.696
Rap,0.432,0.878,221720,0.437,0.00264,D,0.124,-7.922,Major,0.29,130.015,0.193
Rap,0.0946,0.785,215573,0.413,0.0,E,0.126,-11.84,Major,0.151,87.529,0.455
Rap,0.00218,0.926,197747,0.517,0.0,A,0.091,-6.794,Major,0.184,132.07,0.284
Rap,0.415,0.771,312053,0.56,4.86e-05,F,0.536,-5.636,Minor,0.0692,109.978,0.389
Rap,0.0706,0.876,128785,0.912,0.0,C,0.102,-4.801,Minor,0.429,95.973,0.572
Rap,0.138,0.568,254200,0.619,1.67e-06,C#,0.11,-6.899,Major,0.414,170.115,0.293
Rap,0.31,0.906,134760,0.601,0.0,F,0.0917,-2.948,Major,0.082,114.024,0.542
